"hour","member_casual","total_count","time"
"00","casual",5371,"12AM"
"00","member",5123,"12AM"
"01","casual",3628,"1AM"
"01","member",3215,"1AM"
"02","casual",2140,"2AM"
"02","member",1928,"2AM"
"03","casual",1297,"3AM"
"03","member",1195,"3AM"
"04","casual",977,"4AM"
"04","member",1429,"4AM"
"05","casual",1697,"5AM"
"05","member",5156,"5AM"
"06","casual",4089,"6AM"
"06","member",15350,"6AM"
"07","casual",7138,"7AM"
"07","member",28644,"7AM"
"08","casual",9197,"8AM"
"08","member",35011,"8AM"
"09","casual",8887,"9AM"
"09","member",23322,"9AM"
"10","casual",10726,"10AM"
"10","member",21254,"10AM"
"11","casual",14136,"11AM"
"11","member",25016,"11AM"
"12","casual",16397,"12PM"
"12","member",28848,"12PM"
"13","casual",17393,"1PM"
"13","member",28463,"1PM"
"14","casual",18850,"2PM"
"14","member",28956,"2PM"
"15","casual",21052,"3PM"
"15","member",35282,"3PM"
"16","casual",23555,"4PM"
"16","member",45838,"4PM"
"17","casual",24853,"5PM"
"17","member",53935,"5PM"
"18","casual",21830,"6PM"
"18","member",42148,"6PM"
"19","casual",16475,"7PM"
"19","member",29703,"7PM"
"20","casual",12213,"8PM"
"20","member",20684,"8PM"
"21","casual",10641,"9PM"
"21","member",16185,"9PM"
"22","casual",9584,"10PM"
"22","member",12038,"10PM"
"23","casual",7549,"11PM"
"23","member",8022,"11PM"
